Make,Model,Ex-Showroom_Price,Displacement,Cylinders,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Type
Tata,Nano Genx,292667,624,2.0,"Rear, Transverse",24.0,Petrol,Hatchback,Manual
Tata,Nano Genx,236447,624,2.0,"Rear, Transverse",24.0,Petrol,Hatchback,Manual
Tata,Nano Genx,296661,624,2.0,"Rear, Transverse",15.0,CNG,Hatchback,Manual
Tata,Nano Genx,334768,624,2.0,"Rear, Transverse",24.0,Petrol,Hatchback,Automatic
Tata,Nano Genx,272223,624,2.0,"Rear, Transverse",24.0,Petrol,Hatchback,Manual
Tata,Nano Genx,314815,624,2.0,"Rear, Transverse",24.0,Petrol,Hatchback,Automatic
Datsun,Redi-Go,279650,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Datsun,Redi-Go,351832,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Datsun,Redi-Go,333419,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Datsun,Redi-Go,362000,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Datsun,Redi-Go,390000,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Datsun,Redi-Go,437065,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Automatic
Renault,Kwid,353290,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,283290,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,383290,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,413290,799,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,433290,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,454490,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,463290,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Automatic
Renault,Kwid,484490,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Automatic
Renault,Kwid,440990,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,470990,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Automatic
Renault,Kwid,462190,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Manual
Renault,Kwid,492190,999,3.0,"Front, Transverse",28.0,Petrol,Hatchback,Automatic
Maruti Suzuki,Eeco,352136,1196,4.0,"Front, Longitudinal",40.0,Petrol,MPV,Manual
Maruti Suzuki,Eeco,380573,1196,4.0,"Front, Longitudinal",40.0,Petrol,MPV,Manual
Maruti Suzuki,Eeco,392967,1196,4.0,"Front, Longitudinal",40.0,Petrol,MPV,Manual
Maruti Suzuki,Eeco,466057,1196,4.0,"Front, Longitudinal",40.0,CNG,MPV,Manual
Maruti Suzuki,Eeco,425255,1196,4.0,"Front, Longitudinal",40.0,CNG,MPV,Manual
Maruti Suzuki,Alto K10,377588,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto K10,394036,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto K10,360843,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto K10,407238,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Alto K10,439777,998,3.0,"Front, Transverse",35.0,CNG,Hatchback,Manual
Maruti Suzuki,Alto K10,438559,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Automatic
Datsun,Go,374990,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,468229,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,502492,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,499990,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,469990,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,528464,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,553015,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,594464,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Datsun,Go,618015,1198,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio Tour,422444,998,3.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
Maruti Suzuki,Celerio Tour,480670,998,3.0,"Front, Transverse",60.0,CNG,Hatchback,Manual
Hyundai,Santro,429990,1086,4.0,"Front, Transverse",35.0,Petrol,Hatchback,Manual
